Drug_Reference_ID,NDC,Drug_Name,Generic_Name,Brand_Name,Strength,Strength_Unit,Dosage_Form,Route,Manufacturer,Drug_Class,Active_Flag,Effective_Date,End_Date,Source_System
DRG00035,81866879412,Norvasc,Amlodipine,Norvasc,250,mcg,Capsule,Intravenous,Meridian Pharma,Antidiabetic,Y,2022-05-26,,DrugReferenceHub
DRG00036,72171503347,Cozaar,Losartan,Cozaar,20,units/mL,Injection,Subcutaneous,Evergreen Labs,Anticoagulant,Y,2025-10-29,,DrugReferenceHub
DRG00037,36163874460,Prilosec,Omeprazole,Prilosec,1000,mcg,Injection,Intravenous,Evergreen Labs,Antidiabetic,Y,2025-03-19,,DrugReferenceHub
DRG00038,99532189053,Neurontin,Gabapentin,Neurontin,5,mcg,Capsule,Subcutaneous,Pioneer Medical,Gastrointestinal,N,2022-08-14,2024-07-14,DrugReferenceHub
DRG00039,99603627774,Synthroid,Levothyroxine,Synthroid,25,mg/mL,Patch,Oral,Pioneer Medical,Gastrointestinal,N,2023-02-18,2024-10-05,DrugReferenceHub
DRG00040,52954526623,Zoloft,Sertraline,Zoloft,25,mg,Tablet,Topical,Pioneer Medical,Antibiotic,N,2022-10-16,2024-08-27,DrugReferenceHub
DRG00041,48045569225,Crestor,Rosuvastatin,Crestor,40,mcg,Patch,Subcutaneous,Summit Therapeutics,Antibiotic,Y,2023-08-01,,DrugReferenceHub
DRG00042,87088473643,Lexapro,Escitalopram,Lexapro,500,mg,Cream,Subcutaneous,Beacon Life Sciences,Anticoagulant,Y,2023-03-02,,DrugReferenceHub
DRG00043,96381286924,Singulair,Montelukast,Singulair,1000,units/mL,Patch,Intravenous,Northstar Pharma,Antidiabetic,Y,2023-04-25,,DrugReferenceHub
DRG00044,20972530362,Cymbalta,Duloxetine,Cymbalta,100,mg/mL,Capsule,Oral,Pioneer Medical,Antibiotic,Y,2024-02-13,,DrugReferenceHub
DRG00045,97361501089,Plavix,Clopidogrel,Plavix,500,units/mL,Suspension,Inhalation,Evergreen Labs,Antidiabetic,Y,2022-10-04,,DrugReferenceHub
DRG00046,15947426010,Protonix,Pantoprazole,Protonix,20,units/mL,Patch,Intravenous,Northstar Pharma,Respiratory,Y,2025-07-14,,DrugReferenceHub
DRG00047,76954397631,Microzide,Hydrochlorothiazide,Microzide,40,mcg,Injection,Transdermal,Meridian Pharma,Anticoagulant,Y,2024-11-29,,DrugReferenceHub
DRG00048,40842594127,Eliquis,Apixaban,Eliquis,500,units/mL,Capsule,Subcutaneous,Meridian Pharma,Endocrine,Y,2025-01-16,,DrugReferenceHub
DRG00049,37085218953,Jardiance,Empagliflozin,Jardiance,250,mg/mL,Injection,Topical,NORTHSTAR PHARMA,Anticoagulant,Y,2022-09-05,,DrugReferenceHub
DRG00050,85086957723,Januvia,Sitagliptin,Januvia,20,mg,Injection,Inhalation,Summit Therapeutics,Antibiotic,Y,2024-11-01,,DrugReferenceHub
DRG00051,96424932254,Lantus,Insulin Glargine,Lantus,100,mcg,Suspension,Inhalation,BlueRiver Pharmaceuticals,Neurologic,N,2025-05-07,2026-02-03,DrugReferenceHub
DRG00052,32444678260,Humalog,Insulin Lispro,Humalog,20,mg,Inhaler,Transdermal,Pioneer Medical,Anticoagulant,N,2022-09-14,2024-03-29,DrugReferenceHub
DRG00053,17001221267,Prozac,Fluoxetine,Prozac,50,mg,Cream,Oral,Beacon Life Sciences,Gastrointestinal,Y,2025-01-03,,DrugReferenceHub
DRG00054,92965682838,Wellbutrin,Bupropion,Wellbutrin,10,mcg,Capsule,Topical,Redwood Pharma,Antidepressant,Y,2023-06-07,,DrugReferenceHub
DRG00055,44518564169,Coreg,Carvedilol,Coreg,10,mg,Patch,Transdermal,Evergreen Labs,Gastrointestinal,Y,2025-02-25,,DrugReferenceHub
DRG00056,39388824427,Lopressor,Metoprolol,Lopressor,250,mcg,Injection,Oral,Redwood Pharma,Antihypertensive,N,2023-12-01,2025-10-24,DrugReferenceHub
DRG00057,86169955947,Lasix,Furosemide,Lasix,5,mg/mL,Tablet,Inhalation,Atlas Medications,Lipid Lowering,Y,2025-03-18,,DrugReferenceHub
DRG00058,78173474180,Aldactone,,Aldactone,100,mcg,Solution,Oral,Beacon Life Sciences,Lipid Lowering,N,2022-08-04,2023-11-06,DrugReferenceHub
DRG00059,85778839614,Ventolin,Albuterol,Ventolin,20,mcg,Capsule,Subcutaneous,Summit Therapeutics,Gastrointestinal,Y,2023-07-23,,DrugReferenceHub
DRG00060,23007709819,Vibramycin,Doxycycline,Vibramycin,250,mcg,Solution,Intravenous,Summit Therapeutics,Antibiotic,Y,2023-02-04,,DrugReferenceHub
DRG00061,62842687164,Ozempic,Semaglutide,Ozempic,250,mcg,Patch,Topical,Evergreen Labs,Neurologic,Y,2022-12-30,,DrugReferenceHub
DRG00062,89305404592,Glucophage,Metformin,Glucophage,40,units/mL,Cream,Transdermal,Northstar Pharma,Neurologic,Y,2023-03-27,,DrugReferenceHub
DRG00063,94421963775,Lipitor,Atorvastatin,Lipitor,50,units/mL,Patch,Inhalation,Evergreen Labs,Antidepressant,Y,2023-07-14,,DrugReferenceHub
DRG00064,17735727527,Prinivil,Lisinopril,Prinivil,25,mg/mL,Inhaler,Intravenous,BlueRiver Pharmaceuticals,Antidepressant,Y,2022-07-06,,DrugReferenceHub
DRG00065,99698815592,Norvasc,Amlodipine,Norvasc,50,mcg,Patch,Transdermal,BlueRiver Pharmaceuticals,Antibiotic,Y,2024-10-30,,DrugReferenceHub
DRG00066,72982905964,Cozaar,Losartan,Cozaar,5,mg,Suspension,Oral,Crescent Therapeutics,Antihypertensive,Y,2024-03-15,,DrugReferenceHub
DRG00067,48791769150,Prilosec,,Prilosec,50,mg,Inhaler,Intravenous,Pioneer Medical,Endocrine,N,2025-04-27,2027-10-11,DrugReferenceHub
DRG00068,77447650355,Neurontin,Gabapentin,Neurontin,250,mcg,Solution,Transdermal,Summit Therapeutics,Neurologic,Y,2024-10-27,,DrugReferenceHub
DRG00069,63430500679,Synthroid,Levothyroxine,Synthroid,1000,mg/mL,Injection,Transdermal,BlueRiver Pharmaceuticals,Lipid Lowering,N,2022-08-06,2024-04-11,DrugReferenceHub
DRG00070,87507818254,Zoloft,Sertraline,Zoloft,5,mg/mL,Solution,Intravenous,Atlas Medications,Respiratory,Y,2022-04-13,,DrugReferenceHub
DRG00071,40538581357,Crestor,Rosuvastatin,Crestor,10,mcg,Capsule,Topical,EVERGREEN LABS,Respiratory,Y,2023-09-11,,DrugReferenceHub
DRG00072,23819199572,Lexapro,Escitalopram,Lexapro,25,mg/mL,Capsule,Intravenous,Redwood Pharma,Endocrine,Y,2023-12-05,,DrugReferenceHub
DRG00073,38655593381,Singulair,Montelukast,Singulair,5,mg/mL,Solution,Subcutaneous,Atlas Medications,Endocrine,Y,2022-12-18,,DrugReferenceHub
DRG00074,40812726846,Cymbalta,Duloxetine,Cymbalta,50,units/mL,Tablet,Transdermal,Pioneer Medical,Antidepressant,Y,2025-02-17,,DrugReferenceHub
DRG00075,17029875612,Plavix,Clopidogrel,Plavix,250,mg/mL,Solution,Transdermal,Redwood Pharma,Endocrine,N,2024-04-30,2025-08-20,DrugReferenceHub
DRG00076,19307837771,Protonix,Pantoprazole,Protonix,40,mcg,Tablet,Oral,Redwood Pharma,Antidiabetic,Y,2024-12-29,,DrugReferenceHub
DRG00077,92373928763,Microzide,Hydrochlorothiazide,Microzide,250,mg/mL,Cream,Oral,Northstar Pharma,Antibiotic,N,2022-06-09,2022-12-31,DrugReferenceHub
DRG00078,22965734777,Eliquis,Apixaban,Eliquis,500,units/mL,Suspension,Inhalation,Crescent Therapeutics,Anticoagulant,Y,2025-04-06,,DrugReferenceHub
DRG00079,86876532778,Jardiance,Empagliflozin,Jardiance,50,units/mL,Cream,Inhalation,Northstar Pharma,Antidiabetic,Y,2022-10-29,,DrugReferenceHub
DRG00080,92894865154,Januvia,Sitagliptin,Januvia,50,mg,Inhaler,Subcutaneous,Meridian Pharma,Antibiotic,Y,2023-10-18,,DrugReferenceHub
DRG00081,76115147727,Lantus,Insulin Glargine,Lantus,40,mg,SOLUTION,Oral,Meridian Pharma,Antidepressant,Y,2023-10-05,,DrugReferenceHub
DRG00082,94227785584,Humalog,Insulin Lispro,Humalog,250,mg/mL,Injection,Subcutaneous,Northstar Pharma,Anticoagulant,N,2025-04-14,2026-02-26,DrugReferenceHub
DRG00083,21128586347,Prozac,Fluoxetine,Prozac,250,mg,Cream,Oral,Atlas Medications,Lipid Lowering,Y,2023-02-09,,DrugReferenceHub
DRG00084,79345667836,UNKNOWN BRAND DRG00084,Bupropion,Wellbutrin,1000,mg/mL,Capsule,Topical,Crescent Therapeutics,Lipid Lowering,Y,2022-12-18,,DrugReferenceHub
DRG00085,94423237054,Coreg,Carvedilol,Coreg,100,mg,Injection,Topical,Northstar Pharma,Antibiotic,Y,2023-05-12,,DrugReferenceHub
DRG00086,37120476461,Lopressor,Metoprolol,Lopressor,5,units/mL,Patch,Oral,Pioneer Medical,Endocrine,N,2023-06-12,2025-01-02,DrugReferenceHub
DRG00087,79510138828,Lasix,Furosemide,Lasix,25,mcg,Cream,Subcutaneous,Atlas Medications,Anticoagulant,N,2022-09-23,2024-02-13,DrugReferenceHub
DRG00088,13745261453,Aldactone,Spironolactone,Aldactone,40,units/mL,Tablet,Subcutaneous,Redwood Pharma,Gastrointestinal,Y,2022-09-15,,DrugReferenceHub
DRG00089,68995759668,Ventolin,Albuterol,Ventolin,20,units/mL,Suspension,Inhalation,Crescent Therapeutics,Endocrine,N,2022-12-05,2025-05-17,DrugReferenceHub
DRG00090,25353369992,Vibramycin,Doxycycline,Vibramycin,5,mg,Solution,Intravenous,Summit Therapeutics,Antibiotic,Y,2023-11-15,,DrugReferenceHub
DRG00091,65966563490,Ozempic,Semaglutide,Ozempic,10,mg,Injection,Subcutaneous,Summit Therapeutics,Antibiotic,N,2023-05-17,2025-08-18,DrugReferenceHub
DRG00092,66607667644,Glucophage,Metformin,Glucophage,40,units/mL,Suspension,Transdermal,Northstar Pharma,Endocrine,Y,2023-07-28,,DrugReferenceHub
DRG00093,61023340877,Lipitor,Atorvastatin,Lipitor,5,mg,Solution,Topical,Atlas Medications,Lipid Lowering,Y,2024-11-17,,DrugReferenceHub
DRG00094,40815151380,Prinivil,Lisinopril,Prinivil,1000,mg,Injection,Subcutaneous,Summit Therapeutics,Antihypertensive,Y,2022-12-19,,DrugReferenceHub
DRG00095,87455776031,Norvasc,Amlodipine,Norvasc,40,mg/mL,Solution,Topical,Summit Therapeutics,Antidepressant,Y,2025-08-23,,DrugReferenceHub
DRG00096,76013679988,Cozaar,Losartan,Cozaar,500,mg/mL,Injection,Oral,BlueRiver Pharmaceuticals,Antidiabetic,Y,2025-01-04,,DrugReferenceHub
DRG00097,63116718685,Prilosec,Omeprazole,Prilosec,20,mcg,Cream,Topical,Redwood Pharma,Gastrointestinal,Y,2022-09-13,,DrugReferenceHub
DRG00098,68732282181,Neurontin,Gabapentin,Neurontin,5,mg/mL,Injection,Subcutaneous,Northstar Pharma,Gastrointestinal,Y,2023-04-04,,DrugReferenceHub
DRG00099,73978849161,Synthroid,Levothyroxine,Synthroid,1000,mg/mL,Injection,Oral,Northstar Pharma,Antidiabetic,N,2022-09-26,2023-08-02,DrugReferenceHub
DRG00100,51269588679,Zoloft,Sertraline,Zoloft,500,mg,Inhaler,Transdermal,Northstar Pharma,Antidepressant,Y,2023-02-03,,DrugReferenceHub
DRG00101,80264600050,Crestor,Rosuvastatin,Crestor,500,units/mL,Tablet,Inhalation,Pioneer Medical,Lipid Lowering,Y,2023-06-19,,DrugReferenceHub
DRG00102,82440106680,Lexapro,Escitalopram,Lexapro,50,mcg,Cream,Intravenous,Pioneer Medical,Neurologic,Y,2022-07-11,,DrugReferenceHub
DRG00103,91227369073,Singulair,Montelukast,Singulair,5,units/mL,Suspension,Transdermal,BlueRiver Pharmaceuticals,Antihypertensive,Y,2022-01-22,,DrugReferenceHub
DRG00104,88756957596,Cymbalta,Duloxetine,Cymbalta,500,mcg,Patch,Oral,BlueRiver Pharmaceuticals,Antidiabetic,N,2023-10-04,2025-07-30,DrugReferenceHub
DRG00105,17493123839,Plavix,Clopidogrel,Plavix,10,mg/mL,Inhaler,Transdermal,Pioneer Medical,Lipid Lowering,N,2024-10-21,2026-04-26,DrugReferenceHub
DRG00106,22934703171,Protonix,Pantoprazole,Protonix,40,mcg,Tablet,Intravenous,Redwood Pharma,Lipid Lowering,Y,2023-03-19,,DrugReferenceHub
DRG00107,19606146745,Microzide,Hydrochlorothiazide,Microzide,40,mcg,Injection,Topical,Pioneer Medical,Lipid Lowering,N,2025-06-11,2026-02-28,DrugReferenceHub
DRG00108,49834139728,Eliquis,Apixaban,Eliquis,25,units/mL,Tablet,Oral,MERIDIAN PHARMA,Lipid Lowering,Y,2023-06-24,,DrugReferenceHub
DRG00109,46822109163,Jardiance,Empagliflozin,Jardiance,50,mg/mL,Capsule,Intravenous,Beacon Life Sciences,Neurologic,Y,2025-08-09,,DrugReferenceHub
DRG00110,68335772779,Januvia,Sitagliptin,Januvia,20,mg/mL,Solution,Oral,Northstar Pharma,Antihypertensive,Y,2022-12-12,,DrugReferenceHub
DRG00111,73890570297,Lantus,Insulin Glargine,Lantus,20,units/mL,Cream,Subcutaneous,Atlas Medications,Antidiabetic,Y,2024-02-28,,DrugReferenceHub
DRG00112,13685557379,Humalog,Insulin Lispro,Humalog,250,units/mL,Tablet,Oral,Redwood Pharma,Antidepressant,Y,2025-01-20,,DrugReferenceHub
DRG00113,94254883996,Prozac,Fluoxetine,Prozac,500,mg,Injection,Inhalation,EVERGREEN LABS,Gastrointestinal,Y,2022-03-28,,DrugReferenceHub
DRG00114,61820941754,Wellbutrin,Bupropion,Wellbutrin,1000,mcg,Patch,Subcutaneous,Summit Therapeutics,Gastrointestinal,Y,2025-09-21,,DrugReferenceHub
DRG00115,20309347358,Coreg,Carvedilol,Coreg,25,mg/mL,Suspension,Inhalation,Atlas Medications,Antibiotic,Y,2023-06-18,,DrugReferenceHub
DRG00116,98361822465,Lopressor,Metoprolol,Lopressor,250,mcg,Solution,Transdermal,Meridian Pharma,Lipid Lowering,Y,2023-12-29,,DrugReferenceHub
DRG00117,40026109670,Lasix,Furosemide,Lasix,50,mcg,Suspension,Topical,Meridian Pharma,Antidepressant,Y,2024-07-07,,DrugReferenceHub
DRG00118,81267869985,Aldactone,Spironolactone,Aldactone,1000,units/mL,Suspension,Topical,Beacon Life Sciences,Anticoagulant,Y,2024-07-29,,DrugReferenceHub
DRG00119,86802579865,Ventolin,Albuterol,Ventolin,10,mcg,Suspension,Transdermal,Evergreen Labs,Antihypertensive,Y,2022-02-04,,DrugReferenceHub
DRG00120,95415942442,Vibramycin,Doxycycline,Vibramycin,20,mg,Patch,Inhalation,Northstar Pharma,Neurologic,N,2025-06-21,2027-06-17,DrugReferenceHub
DRG00121,92043205735,Ozempic,Semaglutide,Ozempic,250,mg,Tablet,Oral,Pioneer Medical,Antibiotic,N,2024-06-30,2026-03-12,DrugReferenceHub
DRG00122,70410757439,Glucophage,Metformin,Glucophage,5,units/mL,Capsule,Transdermal,Pioneer Medical,Antihypertensive,Y,2025-12-31,,DrugReferenceHub
DRG00123,95759671235,Lipitor,Atorvastatin,Lipitor,5,mg/mL,Inhaler,Transdermal,Atlas Medications,Antibiotic,Y,2023-11-21,,DrugReferenceHub
DRG00124,43371264292,Prinivil,Lisinopril,Prinivil,500,units/mL,Patch,Topical,Redwood Pharma,Anticoagulant,Y,2024-06-15,,DrugReferenceHub
DRG00125,34666508457,Norvasc,Amlodipine,Norvasc,1000,units/mL,Inhaler,Subcutaneous,Northstar Pharma,Gastrointestinal,Y,2023-10-07,,DrugReferenceHub
DRG00126,19998557234,Cozaar,Losartan,Cozaar,100,mg/mL,Solution,Intravenous,Pioneer Medical,Antidepressant,N,2025-07-24,2026-04-01,DrugReferenceHub
DRG00127,86002397952,Prilosec,Omeprazole,Prilosec,40,mg,Capsule,Oral,Crescent Therapeutics,Gastrointestinal,Y,2025-05-01,,DrugReferenceHub
DRG00128,95701180452,Neurontin,Gabapentin,Neurontin,40,mg,Cream,Inhalation,Northstar Pharma,Anticoagulant,Y,2025-08-21,,DrugReferenceHub
DRG00129,25871240147,Synthroid,Levothyroxine,Synthroid,500,mg/mL,Suspension,Topical,Evergreen Labs,Respiratory,Y,2024-01-08,,DrugReferenceHub
DRG00130,89864963195,Zoloft,Sertraline,Zoloft,250,mcg,Capsule,Inhalation,Pioneer Medical,Antibiotic,Y,2025-03-03,,DrugReferenceHub
DRG00131,66961165235,Crestor,Rosuvastatin,Crestor,1000,mg/mL,Suspension,Oral,Pioneer Medical,Antihypertensive,Y,2023-06-09,,DrugReferenceHub
DRG00132,28226964458,Lexapro,Escitalopram,Lexapro,20,units/mL,Cream,Inhalation,Meridian Pharma,Gastrointestinal,Y,2023-11-05,,DrugReferenceHub
DRG00133,95095862344,Singulair,Montelukast,Singulair,25,mg/mL,Tablet,Intravenous,Summit Therapeutics,Lipid Lowering,Y,2025-01-16,,DrugReferenceHub
DRG00134,52550652494,Cymbalta,Duloxetine,Cymbalta,250,mcg,Patch,Topical,Redwood Pharma,Endocrine,Y,2022-04-29,,DrugReferenceHub
DRG00135,92790872997,Plavix,Clopidogrel,Plavix,20,mcg,Injection,Topical,Meridian Pharma,Neurologic,Y,2024-11-04,,DrugReferenceHub
DRG00136,66292157738,Protonix,Pantoprazole,Protonix,250,mcg,Injection,Inhalation,Evergreen Labs,Antidepressant,Y,2022-01-24,,DrugReferenceHub
DRG00137,29696691682,Microzide,Hydrochlorothiazide,Microzide,250,mg,Capsule,Intravenous,Summit Therapeutics,Antidepressant,N,2024-04-28,2025-11-12,DrugReferenceHub
DRG00138,67086806285,Eliquis,Apixaban,Eliquis,1000,units/mL,Solution,Inhalation,Atlas Medications,Endocrine,Y,2023-11-29,,DrugReferenceHub
DRG00139,32786886812,Jardiance,Empagliflozin,Jardiance,20,units/mL,Injection,Oral,Meridian Pharma,Antidepressant,N,2023-11-17,2026-01-04,DrugReferenceHub
DRG00140,37452117788,Januvia,Sitagliptin,Januvia,250,mg/mL,Cream,Topical,Summit Therapeutics,Endocrine,Y,2023-12-24,,DrugReferenceHub
DRG00141,79715188913,Lantus,Insulin Glargine,Lantus,1000,mcg,Patch,Subcutaneous,Summit Therapeutics,Antidiabetic,N,2023-12-21,2025-03-13,DrugReferenceHub
DRG00142,44151264671,Humalog,Insulin Lispro,Humalog,1000,mg/mL,Patch,Transdermal,Redwood Pharma,Endocrine,Y,2023-08-19,,DrugReferenceHub
DRG00143,58349694065,Prozac,Fluoxetine,Prozac,100,units/mL,Capsule,Topical,Crescent Therapeutics,Anticoagulant,Y,2023-10-22,,DrugReferenceHub
DRG00144,43873981962,Wellbutrin,Bupropion,Wellbutrin,5,units/mL,Inhaler,Topical,Beacon Life Sciences,Anticoagulant,N,2024-04-10,2025-07-26,DrugReferenceHub
DRG00145,54145454630,Coreg,Carvedilol,Coreg,250,mg,Injection,Transdermal,Redwood Pharma,Endocrine,Y,2025-01-21,,DrugReferenceHub
DRG00146,59772579378,Lopressor,Metoprolol,Lopressor,1000,units/mL,Tablet,Inhalation,Crescent Therapeutics,Neurologic,Y,2024-03-18,,DrugReferenceHub
DRG00147,90250181876,Lasix,Furosemide,Lasix,100,mg,Solution,Transdermal,Atlas Medications,Antidiabetic,Y,2024-07-28,,DrugReferenceHub
DRG00148,38384498011,Aldactone,Spironolactone,Aldactone,20,mcg,Injection,Transdermal,Summit Therapeutics,Antidiabetic,Y,2025-05-08,,DrugReferenceHub
DRG00149,63039619641,Ventolin,Albuterol,Ventolin,1000,mg,Suspension,Transdermal,EVERGREEN LABS,Antihypertensive,Y,2025-12-17,,DrugReferenceHub
DRG00150,42994769258,UNKNOWN BRAND DRG00150,Doxycycline,Vibramycin,50,units/mL,Cream,Intravenous,Crescent Therapeutics,Lipid Lowering,N,2022-06-08,2023-03-05,DrugReferenceHub
DRG00151,32829657664,Ozempic,Semaglutide,Ozempic,40,units/mL,Capsule,Transdermal,Northstar Pharma,Endocrine,N,2024-11-08,2025-10-21,DrugReferenceHub
DRG00152,19696653191,Glucophage,Metformin,Glucophage,500,mg/mL,Injection,Inhalation,Crescent Therapeutics,Respiratory,Y,2022-11-26,,DrugReferenceHub
DRG00153,15384104284,Lipitor,Atorvastatin,Lipitor,50,mg,Inhaler,Inhalation,Northstar Pharma,Endocrine,N,2022-10-15,2025-06-25,DrugReferenceHub
DRG00154,52258384311,Prinivil,Lisinopril,Prinivil,50,mg,Capsule,Topical,Evergreen Labs,Antidepressant,Y,2025-03-05,,DrugReferenceHub
DRG00155,13245368747,Norvasc,Amlodipine,Norvasc,500,mg/mL,Suspension,Subcutaneous,Northstar Pharma,Anticoagulant,Y,2022-04-11,,DrugReferenceHub
DRG00156,73179592267,Cozaar,Losartan,Cozaar,25,mg,Cream,Subcutaneous,Redwood Pharma,Neurologic,Y,2025-05-24,,DrugReferenceHub
DRG00157,45750813449,Prilosec,Omeprazole,Prilosec,5,mg,Patch,Intravenous,Crescent Therapeutics,Antidepressant,N,2025-01-31,2026-12-21,DrugReferenceHub
DRG00158,94092112525,Neurontin,Gabapentin,Neurontin,20,mg,Suspension,Inhalation,BlueRiver Pharmaceuticals,Antihypertensive,Y,2025-12-25,,DrugReferenceHub
DRG00159,94324240174,Synthroid,Levothyroxine,Synthroid,250,mcg,Patch,Subcutaneous,Redwood Pharma,Respiratory,N,2024-09-03,2025-07-24,DrugReferenceHub
DRG00160,37355642412,Zoloft,Sertraline,Zoloft,5,mcg,Capsule,Subcutaneous,BlueRiver Pharmaceuticals,Neurologic,Y,2025-06-30,,DrugReferenceHub
